tconst,primaryTitle,startYear,the_numbers_url,scrape_success,scrape_error,plot_summary,franchise,has_plot_summary
tt1153706,Dance Flick,2009.0,https://www.the-numbers.com/movie/Dance-Flick,True,,,,False
tt1155056,"I Love You, Man",2009.0,https://www.the-numbers.com/movie/I-Love-You-Man,True,,,,False
tt1155076,The Karate Kid,2010.0,https://www.the-numbers.com/movie/Karate-Kid-The-(2010),True,,,Karate Kid,False
tt11563598,A Complete Unknown,2024.0,https://www.the-numbers.com/movie/Complete-Unknown-A-(2024),True,,"Set in the influential New York music scene of the early 60s, the film follows 19-year-old Minnesota musician Bob Dylan's meteoric rise as a folk singer to concert halls and the top of the charts — his songs and mystique becoming a worldwide sensation — culminating in his groundbreaking electric rock and roll performance at the Newport Folk Festival in 1965.",,True
tt1156398,Zombieland,2009.0,https://www.the-numbers.com/movie/Zombieland-(2009),True,,,Zombieland,False
tt11564570,Glass Onion,2022.0,https://www.the-numbers.com/movie/Glass-Onion-A-Knives-Out-Mystery-(2022),True,,World-famous detective Benoit Blanc heads to Greece to peel back the layers of a mystery surrounding a tech billionaire and his eclectic crew of friends.,Knives Out,True
tt1160419,Dune: Part One,2021.0,https://www.the-numbers.com/movie/Dune,True,,,Dune,False
tt1161864,The Rite,2011.0,https://www.the-numbers.com/movie/Rite-The,True,,"Inspired by true events, the film follows seminary student Michael Kovak, who is sent to study exorcism at the Vatican in spite of his own doubts about the controversial practice and even his own faith. Wearing his deep skepticism like armor, Michael challenges his superiors to look to psychiatry, rather than demons, in treating the possessed. Only when he's sent to apprentice with the unorthodox Father Lucas--a legendary priest who has performed thousands of exorcisms--does Michael's armor begin to fall. As he is drawn into a troubling case that seems to transcend even Father Lucas's skill, he begins to glimpse a phenomenon science can't explain or control...and an evil so violent and terrifying that it forces him to question everything he believes.",,True
tt1164999,Biutiful,2010.0,https://www.the-numbers.com/movie/Biutiful,True,,"Uxbal is a conflicted man who struggles to reconcile fatherhood, love, spirituality, crime, guilt and mortality amidst the dangerous underworld of modern Barcelona. His livelihood is earned out of bounds, his sacrifices for his children know no bounds. As fate encircles him and thresholds are crossed, a dim, redemptive road brightens, illuminating the inheritances bestowed from father to child, and the paternal guiding hand that navigates life’s corridors, whether bright, bad or biutiful.",,True
tt1170358,The Hobbit: The Desolation of Smaug,2013.0,https://www.the-numbers.com/movie/Hobbit-The-Desolation-of-Smaug-The,True,,"Having survived the beginning of their unexpected journey, the Company, consisting of Bilbo Baggins, the Wizard Gandalf, and thirteen Dwarves, led by Thorin Oakenshield, continues East, encountering along the way the skin-changer Beorn and a swarm of giant Spiders in the treacherous forest of Mirkwood. After escaping capture by the dangerous Wood-elves, the Dwarves journey to Lake-town, and finally to the Lonely Mountain itself, where they must face the greatest danger of all—a creature more terrifying than any other; one which will test not only the depth of their courage but the limits of their friendship and the wisdom of the journey itself—the Dragon Smaug.",Peter Jackson's Lord of the Rings,True
tt11729298,American Underdog,2021.0,https://www.the-numbers.com/movie/American-Underdog-The-Kurt-Warner-Story,True,,"American Underdog tells the inspirational true story of Kurt Warner, who went from a stockboy at a grocery store to a two-time NFL MVP, Super Bowl champion, and Hall of Fame quarterback. The film centers on Warner’s unique story and years of challenges and setbacks that could have derailed his aspirations to become an NFL player — but just when his dreams seemed all but out of reach, it is only with the support of his wife, Brenda and the encouragement of his family, coaches, and teammates that Warner perseveres and finds the strength to show the world the champion that he already is. American Underdog is an uplifting story that demonstrates that anything is possible when you have faith, family and determination.",,True
tt1175491,W.,2008.0,https://www.the-numbers.com/movie/W,True,,"Whether you love him or hate him, there is no question that George W. Bush is one of the most controversial public figures in recent memory. W. takes viewers through Bush's eventful life--his struggles and triumphs, how he found both his wife and his faith, and of course the critical days leading up to Bush's decision to invade Iraq.",,True
tt11762114,Mean Girls,2024.0,https://www.the-numbers.com/movie/Mean-Girls-(2024),True,,"Cady Heron moves to suburban Illinois after being home schooled in Africa, and wants to be popular. She takes on The Plastics and becomes frenemies with Regina George. But soon, she learns the hard way that you just shouldn’t mess with the Queen Bee.",,True
tt1178663,Whatever Works,2009.0,https://www.the-numbers.com/movie/Whatever-Works-(2009),True,,,,False
tt1178665,A Walk in the Woods,2015.0,https://www.the-numbers.com/movie/Walk-in-the-Woods-A,True,,"Instead of retiring to enjoy his loving and beautiful wife, and large and happy family, Bill Bryson challenges himself to hike the Appalachian Trail - 2,200 miles of America's most unspoiled, spectacular and rugged countryside from Georgia to Maine. The peace and tranquility he hopes to find, though, is anything but, once he agrees to being accompanied by the only person he can find willing to join him on the trek - his long lost and former friend Katz, a down-on-his-luck serial philanderer who, after a lifetime of relying on his charm and wits to keep one step ahead of the law – sees the trip as a way to sneak out of paying some debts and sneak into one last adventure before its too late. The trouble is, the two have a completely different definition of the word, ""adventure"". Now they're about to find out that when you push yourself to the edge, the real fun begins.",,True
tt1179056,A Nightmare on Elm Street,2010.0,https://www.the-numbers.com/movie/Nightmare-on-Elm-Street-A-(2010),True,,,Nightmare on Elm Street,False
tt1179891,My Bloody Valentine,2009.0,https://www.the-numbers.com/movie/My-Bloody-Valentine-(2009),True,,"Ten years ago, an inexperienced coal miner named Tom Hanniger caused an accident that killed five men and put a sixth, Harry Warden, into a coma. A year later, on Valentine’s Day, Harry woke up and murdered 22 people with a pickaxe before dying. Now Tom has returned home, still haunted by the past. And something else is back in Harmony: a pickaxe-wielding killer in a miner’s mask, who may be the ghost of Harry, come to claim Tom and his friends.",,True
tt1179933,10 Cloverfield Lane,2016.0,https://www.the-numbers.com/movie/10-Cloverfield-Lane,True,,Monsters come in many forms,Cloverfield,True
tt11813216,The Banshees of Inisherin,2022.0,https://www.the-numbers.com/movie/Banshees-of-Inisherin-The-(2022),True,,"On a remote island off the west coast of Ireland, lifelong friends Pádraic and Colm find themselves at an impasse when Colm unexpectedly puts an end to their friendship. A stunned Pádraic, aided by his sister Siobhán and troubled young islander Dominic, endeavors to repair the relationship, refusing to take no for an answer. But Pádraic’s repeated efforts only strengthen his former friend’s resolve and when Colm delivers a desperate ultimatum, events swiftly escalate, with shocking consequences.",,True
