tconst,primaryTitle,startYear,the_numbers_url,found_url,normalized_title,kaggle_year,kaggle_title,Production_Countries
tt1655441,The Age of Adaline,2015.0,https://www.the-numbers.com/movie/Age-of-Adaline-The,True,the age of adaline,2015,The Age of Adaline,United States of America
tt1655460,Wanderlust,2012.0,https://www.the-numbers.com/movie/Wanderlust,True,wanderlust,2012,Wanderlust,United States of America
tt1659337,The Perks of Being a Wallflower,2012.0,https://www.the-numbers.com/movie/Perks-of-Being-a-Wallflower-The,True,the perks of being a wallflower,2012,The Perks of Being a Wallflower,United States of America
tt1661199,Cinderella,2015.0,https://www.the-numbers.com/movie/Cinderella-(2015),True,cinderella,2015,Cinderella,"United Kingdom, United States of America"
tt1661382,Grudge Match,2013.0,https://www.the-numbers.com/movie/Grudge-Match,True,grudge match,2013,Grudge Match,United States of America
tt1663202,The Revenant,2015.0,https://www.the-numbers.com/movie/Revenant-The-(2015),True,the revenant,2015,The Revenant,"Canada, Hong Kong, Taiwan, United States of America"
tt1663662,Pacific Rim,2013.0,https://www.the-numbers.com/movie/Pacific-Rim,True,pacific rim,2013,Pacific Rim,United States of America
tt1666185,All Eyez on Me,2017.0,https://www.the-numbers.com/movie/All-Eyez-on-Me,True,all eyez on me,2017,All Eyez on Me,United States of America
tt1666186,Vampires Suck,2010.0,https://www.the-numbers.com/movie/Vampires-Suck,True,vampires suck,2010,Vampires Suck,United States of America
tt1666801,The DUFF,2015.0,https://www.the-numbers.com/movie/DUFF-The,True,the duff,2015,The DUFF,United States of America
tt1667353,Mirror Mirror,2012.0,https://www.the-numbers.com/movie/Mirror-Mirror,True,mirror mirror,2012,Mirror Mirror,United States of America
tt1667889,Ice Age: Continental Drift,2012.0,https://www.the-numbers.com/movie/Ice-Age-Continental-Drift,True,ice age continental drift,2012,Ice Age: Continental Drift,United States of America
tt1670345,Now You See Me,2013.0,https://www.the-numbers.com/movie/Now-You-See-Me,True,now you see me,2013,Now You See Me,"United States of America, France"
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,2012.0,https://www.the-numbers.com/movie/Twilight-Saga-Breaking-Dawn-Part-2-The,True,the twilight saga breaking dawn part 2,2012,The Twilight Saga: Breaking Dawn - Part 2,United States of America
tt1674771,Entourage,2015.0,https://www.the-numbers.com/movie/Entourage,True,entourage,2015,Entourage,United States of America
tt1677720,Ready Player One,2018.0,https://www.the-numbers.com/movie/Ready-Player-One,True,ready player one,2018,Ready Player One,United States of America
tt1679335,Trolls,2016.0,https://www.the-numbers.com/movie/Trolls,True,trolls,2016,Trolls,United States of America
tt1684562,The Fall Guy,2024.0,https://www.the-numbers.com/movie/Fall-Guy-The-(2024),True,the fall guy,2024,The Fall Guy,"United States of America, Australia"
tt1690953,Despicable Me 2,2013.0,https://www.the-numbers.com/movie/Despicable-Me-2,True,despicable me 2,2013,Despicable Me 2,United States of America
tt1691917,Planes,2013.0,https://www.the-numbers.com/movie/Planes,True,planes,2013,Planes,United States of America
tt1692486,Carnage,2011.0,https://www.the-numbers.com/movie/Carnage,True,carnage,2011,Carnage,"France, Germany, Poland, Spain, United States of America"
tt1694020,The Guilt Trip,2012.0,https://www.the-numbers.com/movie/Guilt-Trip-The,True,the guilt trip,2012,The Guilt Trip,United States of America
tt1695843,Haunted Mansion,2023.0,https://www.the-numbers.com/movie/Haunted-Mansion-(2023),True,haunted mansion,2023,Haunted Mansion,United States of America
tt1698641,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014.0,https://www.the-numbers.com/movie/Alexander-and-the-Terrible-Horrible-No-Good-Very-Bad-Day,True,alexander and the terrible horrible no good very bad day,2014,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",United States of America
tt1700841,Sausage Party,2016.0,https://www.the-numbers.com/movie/Sausage-Party,True,sausage party,2016,Sausage Party,"Canada, United States of America"
tt1702439,Safe Haven,2013.0,https://www.the-numbers.com/movie/Safe-Haven,True,safe haven,2013,Safe Haven,United States of America
tt1702443,Justin Bieber: Never Say Never,2011.0,https://www.the-numbers.com/movie/Justin-Bieber-Never-Say-Never,True,justin bieber never say never,2011,Justin Bieber: Never Say Never,United States of America
tt17024450,The Equalizer 3,2023.0,https://www.the-numbers.com/movie/Equalizer-3-The-(2023),True,the equalizer 3,2023,The Equalizer 3,"Italy, United States of America"
tt1705952,Tarzan,2013.0,https://www.the-numbers.com/movie/Tarzan-(2013),True,tarzan,2013,Tarzan,United States of America
tt1706593,Chronicle,2012.0,https://www.the-numbers.com/movie/Chronicle,True,chronicle,2012,Chronicle,United States of America
tt1710396,Joyful Noise,2012.0,https://www.the-numbers.com/movie/Joyful-Noise,True,joyful noise,2012,Joyful Noise,United States of America
tt1711425,21 & Over,2013.0,https://www.the-numbers.com/movie/21-and-Over,True,21 over,2013,21 & Over,United States of America
tt1711525,Office Christmas Party,2016.0,https://www.the-numbers.com/movie/Office-Christmas-Party,True,office christmas party,2016,Office Christmas Party,United States of America
tt1712170,Alex Cross,2012.0,https://www.the-numbers.com/movie/Alex-Cross,True,alex cross,2012,Alex Cross,"United States of America, France"
tt1712261,Triple 9,2016.0,https://www.the-numbers.com/movie/Triple-9,True,triple 9,2016,Triple 9,United States of America
tt1716772,The Inbetweeners,2011.0,https://www.the-numbers.com/movie/Inbetweeners-Movie-The,True,the inbetweeners,2011,The Inbetweeners,"Spain, United Kingdom, United States of America"
tt1723808,Reagan,2024.0,https://www.the-numbers.com/movie/Reagan-(2024),True,reagan,2024,Reagan,United States of America
tt1726738,Sacrifice,2010.0,https://www.the-numbers.com/movie/Zhao-shi-gu-er,True,sacrifice,2010,Sacrifice,United States of America
tt1727388,The Way Way Back,2013.0,https://www.the-numbers.com/movie/Way-Way-Back-The,True,the way way back,2013,The Way Way Back,United States of America
tt1727824,Bohemian Rhapsody,2018.0,https://www.the-numbers.com/movie/Bohemian-Rhapsody-(2018),True,bohemian rhapsody,2018,Bohemian Rhapsody,"United Kingdom, United States of America"
tt17279496,Civil War,2024.0,https://www.the-numbers.com/movie/Civil-War-(2024),True,civil war,2024,Civil War,"Finland, United Kingdom, United States of America"
tt1730768,The Zookeeper's Wife,2017.0,https://www.the-numbers.com/movie/Zookeepers-Wife-The-(2017),True,the zookeepers wife,2017,The Zookeeper's Wife,"Czech Republic, United Kingdom, United States of America"
tt1731141,Ender's Game,2013.0,https://www.the-numbers.com/movie/Enders-Game,True,enders game,2013,Ender's Game,United States of America
tt17351924,Saltburn,2023.0,https://www.the-numbers.com/movie/Saltburn-(2023),True,saltburn,2023,Saltburn,"United Kingdom, United States of America"
tt1735898,Snow White and the Huntsman,2012.0,https://www.the-numbers.com/movie/Snow-White-and-the-Huntsman,True,snow white and the huntsman,2012,Snow White and the Huntsman,United States of America
tt1741273,Secret in Their Eyes,2015.0,https://www.the-numbers.com/movie/Secret-in-Their-Eyes-(2015),True,secret in their eyes,2015,Secret in Their Eyes,"South Korea, Spain, United Kingdom, United States of America"
tt1742044,Jersey Boys,2014.0,https://www.the-numbers.com/movie/Jersey-Boys,True,jersey boys,2014,Jersey Boys,United States of America
tt1742650,I Don't Know How She Does It,2011.0,https://www.the-numbers.com/movie/I-Dont-Know-How-She-Does-It,True,i dont know how she does it,2011,I Don't Know How She Does It,United States of America
tt1745960,Top Gun: Maverick,2022.0,https://www.the-numbers.com/movie/Top-Gun-Maverick-(2022),True,top gun maverick,2022,Top Gun: Maverick,United States of America
tt1748122,Moonrise Kingdom,2012.0,https://www.the-numbers.com/movie/Moonrise-Kingdom-(2012),True,moonrise kingdom,2012,Moonrise Kingdom,United States of America
tt17505010,Horizon: An American Saga - Chapter 1,2024.0,https://www.the-numbers.com/movie/Horizon-An-American-Saga-Chapter-1-(2024),True,horizon an american saga chapter 1,2024,Horizon: An American Saga - Chapter 1,United States of America
tt17526714,The Substance,2024.0,https://www.the-numbers.com/movie/Substance-The-(2024),True,the substance,2024,The Substance,"France, United Kingdom, United States of America"
tt17527468,Bottoms,2023.0,https://www.the-numbers.com/movie/Bottoms-(2023),True,bottoms,2023,Bottoms,United States of America
tt1753383,A Dog's Purpose,2017.0,https://www.the-numbers.com/movie/Dogs-Purpose-A,True,a dogs purpose,2017,A Dog's Purpose,"Canada, India, United States of America"
tt1758830,This Is 40,2012.0,https://www.the-numbers.com/movie/This-Is-40,True,this is 40,2012,This Is 40,United States of America
tt1764183,Arbitrage,2012.0,https://www.the-numbers.com/movie/Arbitrage,True,arbitrage,2012,Arbitrage,United States of America
tt1764234,Killing Them Softly,2012.0,https://www.the-numbers.com/movie/Killing-Them-Softly,True,killing them softly,2012,Killing Them Softly,United States of America
tt1764651,The Expendables 2,2012.0,https://www.the-numbers.com/movie/Expendables-2-The,True,the expendables 2,2012,The Expendables 2,"Bulgaria, United States of America"
tt17663992,Scream VI,2023.0,https://www.the-numbers.com/movie/Scream-VI-(2023),True,scream vi,2023,Scream VI,United States of America
tt1772240,Apollo 18,2011.0,https://www.the-numbers.com/movie/Apollo-18,True,apollo 18,2011,Apollo 18,"Canada, Russia, United States of America"
tt1772341,Wreck-It Ralph,2012.0,https://www.the-numbers.com/movie/Wreck-It-Ralph,True,wreckit ralph,2012,Wreck-It Ralph,United States of America
tt1778304,Paranormal Activity 3,2011.0,https://www.the-numbers.com/movie/Paranormal-Activity-3,True,paranormal activity 3,2011,Paranormal Activity 3,United States of America
tt1787759,Madea's Big Happy Family,2011.0,https://www.the-numbers.com/movie/Madeas-Big-Happy-Family-(2011),True,madeas big happy family,2011,Madea's Big Happy Family,United States of America
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,2017.0,https://www.the-numbers.com/movie/Pirates-of-the-Caribbean-Dead-Men-Tell-No-Tales,True,pirates of the caribbean dead men tell no tales,2017,Pirates of the Caribbean: Dead Men Tell No Tales,United States of America
tt1790864,The Maze Runner,2014.0,https://www.the-numbers.com/movie/Maze-Runner-The,True,the maze runner,2014,The Maze Runner,"United States of America, United Kingdom"
tt1790885,Zero Dark Thirty,2012.0,https://www.the-numbers.com/movie/Zero-Dark-Thirty,True,zero dark thirty,2012,Zero Dark Thirty,United States of America
tt1790886,The Campaign,2012.0,https://www.the-numbers.com/movie/Campaign-The,True,the campaign,2012,The Campaign,United States of America
tt1792647,Cirque du Soleil: Worlds Away,2012.0,https://www.the-numbers.com/movie/Cirque-du-Soleil-Worlds-Away-(2012),True,cirque du soleil worlds away,2012,Cirque du Soleil: Worlds Away,United States of America
tt1798603,Bad Santa 2,2016.0,https://www.the-numbers.com/movie/Bad-Santa-2,True,bad santa 2,2016,Bad Santa 2,"Canada, United Kingdom, United States of America"
tt1798632,Firestarter,2022.0,https://www.the-numbers.com/movie/Firestarter-(2022),True,firestarter,2022,Firestarter,"Canada, Japan, United States of America"
tt1798684,Southpaw,2015.0,https://www.the-numbers.com/movie/Southpaw-(2015),True,southpaw,2015,Southpaw,United States of America
tt1798709,Her,2013.0,https://www.the-numbers.com/movie/Her,True,her,2013,Her,United States of America
tt1800241,American Hustle,2013.0,https://www.the-numbers.com/movie/American-Hustle,True,american hustle,2013,American Hustle,United States of America
tt1800741,Step Up: Revolution,2012.0,https://www.the-numbers.com/movie/Step-Up-Revolution,True,step up revolution,2012,Step Up Revolution,United States of America
tt18079362,80 for Brady,2023.0,https://www.the-numbers.com/movie/80-for-Brady-(2023),True,80 for brady,2023,80 for Brady,United States of America
tt1809398,Unbroken,2014.0,https://www.the-numbers.com/movie/Unbroken,True,unbroken,2014,Unbroken,United States of America
tt1815862,After Earth,2013.0,https://www.the-numbers.com/movie/After-Earth,True,after earth,2013,After Earth,United States of America
tt1821549,Nebraska,2013.0,https://www.the-numbers.com/movie/Nebraska,True,nebraska,2013,Nebraska,United States of America
tt1821658,The Nut Job,2014.0,https://www.the-numbers.com/movie/Nut-Job-The,True,the nut job,2014,The Nut Job,"Canada, South Korea, United States of America"
tt1821694,RED 2,2013.0,https://www.the-numbers.com/movie/RED-2,True,red 2,2013,RED 2,United States of America
tt1823664,Annie,2014.0,https://www.the-numbers.com/movie/Annie-(2014),True,annie,2014,Annie,United States of America
tt1823672,Chappie,2015.0,https://www.the-numbers.com/movie/Chappie,True,chappie,2015,Chappie,United States of America
tt1825683,Black Panther,2018.0,https://www.the-numbers.com/movie/Black-Panther-(2018),True,black panther,2018,Black Panther,United States of America
tt18259086,Sonic the Hedgehog 3,2024.0,https://www.the-numbers.com/movie/Sonic-the-Hedgehog-3-(2024),True,sonic the hedgehog 3,2024,Sonic the Hedgehog 3,"Japan, United States of America"
tt1826590,About Last Night,2014.0,https://www.the-numbers.com/movie/About-Last-Night-(2014),True,about last night,2014,About Last Night,United States of America
tt1826727,Life of the Party,2018.0,https://www.the-numbers.com/movie/Life-of-the-Party,True,life of the party,2018,Life of the Party,United States of America
tt18272208,Here,2024.0,https://www.the-numbers.com/movie/Here-(2024),True,here,2024,Here,United States of America
tt1837709,Winter's Tale,2014.0,https://www.the-numbers.com/movie/Winters-Tale,True,winters tale,2014,Winter's Tale,United States of America
tt1838556,Honest Thief,2020.0,https://www.the-numbers.com/movie/Honest-Thief-(2020),True,honest thief,2020,Honest Thief,"United Kingdom, United States of America"
tt1840309,Divergent,2014.0,https://www.the-numbers.com/movie/Divergent,True,divergent,2014,Divergent,United States of America
tt18412256,Alien: Romulus,2024.0,https://www.the-numbers.com/movie/Alien-Romulus-(2024),True,alien romulus,2024,Alien: Romulus,United States of America
tt1843866,Captain America: The Winter Soldier,2014.0,https://www.the-numbers.com/movie/Captain-America-The-Winter-Soldier,True,captain america the winter soldier,2014,Captain America: The Winter Soldier,United States of America
tt1846589,Hunter Killer,2018.0,https://www.the-numbers.com/movie/Hunter-Killer-(2018),True,hunter killer,2018,Hunter Killer,"France, United States of America"
tt1850394,The Dream Team,2012.0,https://www.the-numbers.com/movie/Dream-Team-The,True,the dream team,2012,The Dream Team,United States of America
tt1850457,Sisters,2015.0,https://www.the-numbers.com/movie/Sisters-(2015),True,sisters,2015,Sisters,United States of America
tt1853728,Django Unchained,2012.0,https://www.the-numbers.com/movie/Django-Unchained,True,django unchained,2012,Django Unchained,United States of America
tt1854564,Percy Jackson: Sea of Monsters,2013.0,https://www.the-numbers.com/movie/Percy-Jackson-Sea-of-Monsters,True,percy jackson sea of monsters,2013,Percy Jackson: Sea of Monsters,United States of America
tt1855199,End of Watch,2012.0,https://www.the-numbers.com/movie/End-of-Watch,True,end of watch,2012,End of Watch,United States of America
