tconst,primaryTitle,startYear,the_numbers_url,found_url
tt5544384,Sword Art Online the Movie: Ordinal Scale,2017.0,,False
tt5544700,Doraemon the Movie: Nobita and the Birth of Japan,2016.0,,False
tt5562066,When Larry Meets Mary,2016.0,,False
tt5562070,Wish Dragon,2021.0,,False
tt5563334,The Good Liar,2019.0,https://www.the-numbers.com/movie/Good-Liar-The-(2019),True
tt5580036,"I, Tonya",2017.0,https://www.the-numbers.com/movie/I-Tonya-(2017),True
tt5580266,The Hate U Give,2018.0,https://www.the-numbers.com/movie/Hate-U-Give-The,True
tt5580390,The Shape of Water,2017.0,https://www.the-numbers.com/movie/Shape-of-Water-The-(2017),True
tt5581284,All About Me,2018.0,,False
tt5592248,The Beguiled,2017.0,https://www.the-numbers.com/movie/Beguiled-The-(2017),True
tt5596352,Chongqing Hot Pot,2016.0,,False
tt5606538,Confidential Assignment,2017.0,,False
tt5606664,Doctor Sleep,2019.0,https://www.the-numbers.com/movie/Doctor-Sleep-(2019),True
tt5619332,Life of the Party,2018.0,https://www.the-numbers.com/movie/Life-of-the-Party,True
tt5636668,Battle of Memories,2017.0,,False
tt5644740,The King,2017.0,https://www.the-numbers.com/movie/King-The,True
tt5657846,Daddy's Home 2,2017.0,https://www.the-numbers.com/movie/Daddys-Home-2,True
tt5664636,Goosebumps 2: Haunted Halloween,2018.0,https://www.the-numbers.com/movie/Goosebumps-2-Haunted-Halloween-(2018),True
tt5672290,The First Omen,2024.0,https://www.the-numbers.com/movie/First-Omen-The-(2024),True
tt5690360,Slender Man,2018.0,https://www.the-numbers.com/movie/Slender-Man,True
tt5691024,Show Dogs,2018.0,https://www.the-numbers.com/movie/Show-Dogs-(2018),True
tt5692622,Detective Conan: Crimson Love Letter,2017.0,,False
tt5697572,Cats,2019.0,https://www.the-numbers.com/movie/Cats-(2019),True
tt5700672,Train to Busan,2016.0,,False
tt5715410,Son of Bigfoot,2017.0,,False
tt5719700,Home Again,2017.0,https://www.the-numbers.com/movie/Home-Again-(2017),True
tt5719748,Cold Pursuit,2019.0,https://www.the-numbers.com/movie/Cold-Pursuit-(2019),True
tt5726086,Insidious: The Last Key,2018.0,https://www.the-numbers.com/movie/Insidious-The-Last-Key,True
tt5726616,Call Me by Your Name,2017.0,https://www.the-numbers.com/movie/Call-Me-by-Your-Name-(2017),True
tt5727208,Uncut Gems,2019.0,https://www.the-numbers.com/movie/Uncut-Gems,True
tt5734576,The Possession of Hannah Grace,2018.0,https://www.the-numbers.com/movie/Possession-of-Hannah-Grace-The-(2018),True
tt5735464,Master,2016.0,,False
tt5758778,Skyscraper,2018.0,https://www.the-numbers.com/movie/Skyscraper,True
tt5761544,Kandahar,2023.0,https://www.the-numbers.com/movie/Kandahar-(2023),True
tt5764096,Hindi Medium,2017.0,,False
tt5769516,Yesterday Once More,2016.0,,False
tt5774060,Underwater,2020.0,https://www.the-numbers.com/movie/Underwater-(2020),True
tt5776858,Phantom Thread,2017.0,https://www.the-numbers.com/movie/Phantom-Thread,True
tt5779228,The Garfield Movie,2024.0,https://www.the-numbers.com/movie/Garfield-Movie-The-(2024),True
tt5805470,Gintama Live Action the Movie,2017.0,,False
